1,2,3,4,5,6,7,8,9,10,11,start,end,code,biao
3,6,9,11,13,15,17,21,24,28,35,17.59,-23.79,79qn2mgn,2
3,6,9,11,13,15,19,21,24,28,33,-4,-44.8,zyy7lwna,2
3,6,9,11,13,15,20,21,24,28,33,-9,-47.2,d6harnae,2
3,6,9,11,13,15,17,21,24,28,35,1.52,-36.51,bieu6mpr,2
3,6,9,11,13,15,17,21,24,28,35,-28,-65.4,8cyh64c7,2
3,6,9,11,13,15,18,21,24,28,33,-4,-40.8,68araqh7,2
3,6,9,11,13,15,17,21,24,28,32,-10,-46,g7uoijja,2
3,6,9,11,13,15,17,21,24,28,33,10.64,-24.65,26ovv9nz,2
3,6,9,11,13,15,17,21,24,28,35,14.34,-19.71,lmp9ngf4,2
3,6,9,11,13,15,17,21,25,28,35,-13.5,-47.5,bdec0ba1,2
3,6,9,11,13,15,18,21,24,28,35,-10,-39.2,1gpsk1od,2
3,6,9,11,13,15,19,21,23,28,35,-13.4,-38.6,jbfzncen,2
3,6,9,11,13,15,18,21,23,28,31,27.08,2.46,h7b871s6,2
3,6,9,11,13,15,17,21,23,28,34,-36,-58.6,z873r4vo,2
3,6,9,11,13,15,18,21,23,28,35,25,10,9t4dpmrw,2
3,6,9,11,13,15,18,21,23,28,32,16.3,2.44,s270rho2,2
3,6,9,11,13,15,18,22,24,28,34,-9.5,35.15,gxr64i8r,2
3,6,9,11,13,15,17,21,24,27,31,-25,-61.8,y0q2jnsm,2
3,6,9,11,13,15,20,21,24,27,31,-70,-106,n26lbqa5,2
3,6,9,11,13,15,17,21,24,27,30,-22.5,-49.7,t9m6tgki,2
3,6,9,11,13,15,18,21,24,27,32,-40,-61,3vpcaply,2
3,6,9,11,13,15,18,21,26,27,34,-15,-73,0x4d1g7c,2
3,6,9,11,13,15,18,21,25,27,34,-53.5,-97.5,biqw1l36,2
3,6,9,11,13,15,19,21,24,27,34,-47,-82,d39a3neo,2
3,6,9,11,13,15,18,21,23,27,30,-3,-3.6,4de7ayta,2
3,6,9,11,13,15,18,21,26,27,35,-35,-87.8,xcoc0hf4,2
3,6,9,11,13,15,19,21,25,27,35,-25.5,-57.3,jicuopmz,2
3,6,9,11,13,15,17,21,24,27,30,-30,-50.4,qyyocas4,2
3,6,9,11,13,15,17,21,24,27,29,-18,-24.4,0nu0s221,2
3,6,9,11,13,15,18,21,26,27,31,-45,-100.4,t7uhl32a,2
3,6,9,11,13,15,19,21,25,27,35,-36,-83.6,g004gng8,2
3,6,9,11,13,15,18,21,26,27,33,-39,-83,otvnb5te,2
3,6,9,11,13,15,18,21,25,27,33,-3,-46.4,my8o7lk6,2
3,6,9,11,13,15,18,21,24,27,31,-21,-49.4,2ygzmnz9,2
3,6,9,11,13,15,17,21,25,27,35,-3,-27,bysqs2ac,2
3,6,9,11,13,15,19,21,24,27,34,-17.5,-37.9,dot3hb5e,2
3,6,9,11,13,15,17,21,24,27,35,-3,-23,hb9e1b5f,2
3,6,9,11,13,15,20,21,24,27,29,-32,-43,tgyt0okw,2
3,6,9,11,13,15,18,21,24,27,35,-14,-20.2,uefnt3zt,2
3,6,9,11,13,15,17,21,24,27,35,-22,-24.81,037gym6i,2
3,6,9,11,13,15,19,21,26,27,33,-25,-87.8,uvakwdur,2
3,6,9,11,13,15,18,21,26,27,30,-3,-56,4c16txm9,2
3,6,9,11,13,15,18,21,25,27,29,-27,-65.8,v6of81mc,2
3,6,9,11,13,15,17,21,26,27,35,-38,-74,tzn75yhk,2
3,6,9,11,13,15,20,21,24,27,31,-10,-39.6,o7pqerl1,2
3,6,9,11,13,15,19,21,24,27,35,-52,-77.2,0ff2742h,2
