code,biao,Work_type,Work_profit,Health_type,Health_profit,Repay_type,Repay_profit,Loan_type,Loan_profit,Investment_type,Investment_profit,Venture_type,Venture_profit,Insurance_type,Insurance_profit,Lottery_type,Lottery_profit,Disaster_type,Disaster_profit,Ill_type,Ill_profit,Preference_type,Preference_profit,Patience_type,Patience_profit,start,end,profit,cash_before_patience,patience_profit,realend,realprofit
v5p7lv20,3,0,24,2,-10,0,0,1,30.35,1,14.1,1,-75,1,-8.092,1,-1,0,0,1,-5,2,4.8,0,5,97.47,76.63,-20.84,71.63,5,76.63,-20.84
11qpbunz,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,1,-15,6,0,1,6.6,-98.2,-116.6,-18.4,-123.2,6.6,-116.6,-18.4
yaiqosbx,3,0,15,1,-5,0,0,0,0,1,-0.45,1,0,1,-0.875,1,-0.08,0,0,1,-7,1,5.4,0,11,-0.8,17.2,18,6.2,11,17.2,18
xp91b3qj,3,0,21,1,-5,1,-3.09,1,8.24,1,0.3,1,-1,1,-5.172,1,-2,0,0,1,-7,1,11.4,1,5,31.27,53.95,22.68,48.95,5,53.95,22.68
9t4dpmrw,3,1,9,1,-5,0,0,1,1.96,1,0.8,1,-5,1,-1.176,0,0,0,0,1,-7,6,0,1,0,10,3.58,-6.42,3.58,0,3.58,-6.42
i6lqx8ts,3,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,1,11.4,1,6,-46,-65.6,-19.6,-71.6,6,-65.6,-19.6
sqfmjhqp,3,0,0,1,-5,1,-0.275,1,2,1,0.3,1,1,1,-0.6635,1,-2,0,0,3,-35,1,5.4,0,5,8.61,-20.63,-29.24,-25.63,5,-20.63,-29.24
5kkr5060,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,1,11.4,0,5,-36.8,-36.4,0.4,-41.4,5,-36.4,0.4
g7uoijja,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,3,2.1,0,5,-13.2,-0.1,13.1,-5.1,5,-0.1,13.1
8g2iaxf0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.2,0,11.4,-28.7,-7.1,21.6,-18.5,11.4,-7.1,21.6
1yemb6kz,4,0,15,1,-5,0,0,0,0,1,0.4,1,2,1,-1.485,1,-1,0,0,3,-35,3,7.5,1,6.8,2.45,-8.33,-10.78,-15.13,6.8,-8.33,-10.78
x6cv314a,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,16,0,5,-25.3,-24.3,1,-29.3,5,-24.3,1
26ovv9nz,4,0,15,2,-10,0,0,1,0.34,1,0.75,1,-4,1,-0.564,1,-1,0,0,2,-15,2,7.2,0,5,3.55,1.28,-2.27,-3.72,5,1.28,-2.27
